Centro planificación;Orden;Almacén;Material;Lote;Texto breve material;Cantidad orden;Cantidad entregada;Fecha de fin real;Unidad de medida;Estado de sistema;Status de usuario;Hora creación;Fecha inicio extrema;Fecha fin extrema;Autor;Planificador nec.;Versión fabricación;Modificado por
B010;1082938;1003;12000496;2605180823;MIX ADEREZO ENSALADA ;948;948;18/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;11:02:46 a. m.;18/5/2026;19/5/2026;USUARIO 1;P09;V001;CABAD
B010;1083068;1003;12000496;2605210584;MIX ADEREZO ENSALADA;948;948;21/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;RECT;9:01:25 a. m.;21/5/2026;22/5/2026;USUARIO 2;P09;V001;CABAD
B010;1083162;1003;12000496;2605230326;MIX ADEREZO ENSALADA;474;474;23/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;8:07:18 a. m.;23/5/2026;23/5/2026;USUARIO 1;P09;V001;CABAD
B010;1082937;1003;12002516;2605180806;MIX DE SALMUERA ORIGINAL;320,640;320,640;18/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;10:51:22 a. m.;18/5/2026;18/5/2026;USUARIO 1;P09;V001;CABAD
B010;1083130;1003;12002516;2605221371;MIX DE SALMUERA ORIGINAL;320,640;320,640;22/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;3:49:34 p. m.;22/5/2026;22/5/2026;USUARIO 2;P09;V001;CABAD
B010;1082934;1003;12002517;2605180787;MIX DE SALMUERA CRISPY;163,680;163,680;18/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;10:45:51 a. m.;18/5/2026;18/5/2026;USUARIO 1;P09;V001;CABAD
B010;1082967;1003;12002517;2605190212;MIX DE SALMUERA CRISPY;208,320;208,320;19/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;6:43:21 a. m.;19/5/2026;19/5/2026;USUARIO 2;P09;V001;CABAD
B010;1083016;1003;12002517;2605200269;MIX DE SALMUERA CRISPY;208,320;208,320;20/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;8:01:21 a. m.;20/5/2026;20/5/2026;USUARIO 2;P09;V001;CABAD
B010;1083061;1003;12002517;2605210254;MIX DE SALMUERA CRISPY;178,560;178,560;21/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;7:17:06 a. m.;21/5/2026;21/5/2026;USUARIO 2;P09;V001;CABAD
B010;1083118;1003;12002517;2605220377;MIX DE SALMUERA CRISPY;148,800;148,800;22/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;7:52:13 a. m.;22/5/2026;22/5/2026;USUARIO 2;P09;V001;CABAD
B010;1083156;1003;12002517;2605230121;MIX DE SALMUERA CRISPY;282,720;282,720;23/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;7:12:19 a. m.;23/5/2026;24/5/2026;USUARIO 2;P09;V001;CABAD
B010;1082944;1008;12002544;2605180920;GALLETA TRITURADA;64,200;64,200;18/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;11:39:47 a. m.;18/5/2026;18/5/2026;USUARIO 1;P07;V001;CABAD
B010;1082993;1008;12002544;2605190855;GALLETA TRITURADA;117,520;117,520;19/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;3:49:10 p. m.;19/5/2026;19/5/2026;USUARIO 1;P07;V001;CABAD
B010;1083086;1008;12002544;2605211528;GALLETA TRITURADA;57,300;57,300;21/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;8:50:16 p. m.;21/5/2026;21/5/2026;USUARIO 1;P07;V001;CABAD
B010;1083178;1008;12002544;2605230887;GALLETA TRITURADA;122,300;122,300;24/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;7:30:44 p. m.;23/5/2026;23/5/2026;USUARIO 1;P07;V001;CABAD
B010;1082985;1008;14002692;2605190483;AVALANCHA OREO CJ(63UN);208;208;22/5/2026;CJ;CERR FMAT NOTP ENTR PREC EDET DDPN DMNV*;RECT;9:10:01 a. m.;19/5/2026;26/5/2026;USUARIO 1;P07;V001;CABAD
B010;1083164;1008;14002692;2605230408;AVALANCHA OREO CJ(63UN);80;80;24/5/2026;CJ;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;8:57:41 a. m.;23/5/2026;25/5/2026;USUARIO 1;P07;V001;CABAD
B010;1083177;1008;14002692;2605230886;AVALANCHA OREO CJ(63UN);180;180;25/5/2026;CJ;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;7:28:48 p. m.;23/5/2026;26/5/2026;USUARIO 1;P07;V001;CABAD
B010;1082943;1008;14002995;2605180919;SUNDAE DE AREQUIPE CJ(105UN);160;160;19/5/2026;CJ;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;11:38:28 a. m.;18/5/2026;18/5/2026;USUARIO 1;P07;V001;CABAD
B010;1083077;1008;14002995;2605211313;SUNDAE DE AREQUIPE CJ(105UN);120;120;22/5/2026;CJ;CERR FMAT NOTP ENTR PREC EDET DDPN LINA*;LIB  RECT;3:30:28 p. m.;21/5/2026;21/5/2026;USUARIO 3;P07;V001;CABAD
B010;1083132;1008;14002995;2605221433;SUNDAE DE AREQUIPE CJ(105UN);100;100;24/5/2026;CJ;CERR NOTP ENTR PREC EDET DDPN LINA LOAS*;LIB  RECT;4:33:42 p. m.;22/5/2026;22/5/2026;USUARIO 1;P07;V001;CABAD
B010;1083022;1008;14003025;2605200468;SUNDAE DE CHOCOLATE CJ(105UN);120;120;22/5/2026;CJ;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;9:14:19 a. m.;20/5/2026;23/5/2026;USUARIO 2;P07;V001;CABAD
B010;1082920;1001;12001209;2605180212;SALMUERA CRISPY;1.263,680;1.263,680;18/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;7:22:42 a. m.;18/5/2026;18/5/2026;USUARIO 4;P01;V001;CABAD
B010;1082957;1001;12001209;2605190167;SALMUERA CRISPY;1.608,320;1.608,320;19/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;6:09:01 a. m.;19/5/2026;19/5/2026;USUARIO 4;P01;V001;CABAD
B010;1083015;1001;12001209;2605200265;SALMUERA CRISPY;1.608,320;1.608,320;20/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;8:00:37 a. m.;20/5/2026;20/5/2026;USUARIO 4;P01;V001;CABAD
B010;1083045;1001;12001209;2605210147;SALMUERA CRISPY;1.378,560;1.378,560;21/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;6:34:26 a. m.;21/5/2026;21/5/2026;USUARIO 4;P01;V001;CABAD
B010;1083094;1001;12001209;2605220195;SALMUERA CRISPY;1.148,800;1.148,800;22/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;6:24:50 a. m.;22/5/2026;22/5/2026;USUARIO 4;P01;V001;CABAD
B010;1083136;1001;12001209;2605230072;SALMUERA CRISPY;2.182,720;2.182,720;23/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;5:48:03 a. m.;23/5/2026;24/5/2026;USUARIO 4;P01;V001;CABAD
B010;1082922;1001;12001211;2605180216;SALMUERA IMOR;1.493,520;1.493,520;18/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;7:23:35 a. m.;18/5/2026;18/5/2026;USUARIO 4;P01;V001;CABAD
B010;1082958;1001;12001211;2605190168;SALMUERA IMOR;1.493,520;1.493,520;19/5/2026;KG;CERR NOTP ENTR PREC EDET DDPN DMNV LINA*;LIB  RECT;6:09:38 a. m.;19/5/2026;19/5/2026;USUARIO 4;P01;V001;CABAD
