Orden;Material;Documento material;Descripción material;Ctd.en UM base y signo +/-;Impte.mon.local;Clase de movimiento;Fecha de documento;Fecha contabiliz.;Almacén;Ind.movim.mercancías;Centro;Pos.documento mat.;Lote;Indicador Debe/Haber;Moneda;Reserva
1082908;11001135;4916453391;MARINADO PICANTE CJX25UN;55;1.569.209;261;19/5/2026;19/5/2026;1001;1;B010;1;2604221405;H;COP;1946599
1082908;11001135;4916459788;MARINADO PICANTE CJX25UN;55;1.569.209;261;19/5/2026;19/5/2026;1001;1;B010;1;2605070456;H;COP;1946599
1082908;12002532;4916438027;ALAS CORTADAS POLLO;764,700;8.124.173;261;18/5/2026;18/5/2026;1001;1;B010;1;2605140096;H;COP;1946599
1082908;12002532;4916441349;ALAS CORTADAS POLLO;279;2.964.096;261;18/5/2026;18/5/2026;1001;1;B010;1;2605180200;H;COP;1946599
1082908;12002532;4916459786;ALAS CORTADAS POLLO;218,100;2.317.094;261;19/5/2026;19/5/2026;1001;1;B010;1;2605170162;H;COP;1946599
1082908;12002532;4916459786;ALAS CORTADAS POLLO;582,310;6.186.461;261;19/5/2026;19/5/2026;1001;1;B010;2;2605180200;H;COP;1946599
1082908;18001585;4916453391;BOLSA FUNDA BTOX10BOLX100UN;100;21.506;261;19/5/2026;19/5/2026;1001;1;B010;3;2604151095;H;COP;1946599
1082908;18001586;4916453391;BOLSA FUELLE  BTOX50BOLX100UN;1.400;76.864;261;19/5/2026;19/5/2026;1001;1;B010;2;2604291357;H;COP;1946599
1082908;18001602;4916437185;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946599
1082908;18001602;4916437186;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946599
1082908;18001602;4916437500;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946599
1082908;18001602;4916437980;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946599
1082908;18001602;4916437986;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946599
1082908;18001602;4916439090;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946599
1082908;18001602;4916439712;ETIQUETA TERMICA CJX4ROLX2605UN;200;9.600;261;18/5/2026;18/5/2026;1001;1;B010;1;2604241568;H;COP;1946599
1082908;14002429;4916437561;ALAS HOT WINGS BOL(40UN);-150;-2.361.450;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916437843;ALAS HOT WINGS BOL(40UN);-50;-787.150;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916438137;ALAS HOT WINGS BOL(40UN);-125;-1.967.875;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
1082908;14002429;4916438487;ALAS HOT WINGS BOL(40UN);-81;-1.275.183;101;18/5/2026;18/5/2026;1001;4;B010;1;2605180174;S;COP;0
