cod_componente,descripcion_componente,unidad_sap,cantidad_por_presentacion,unidad_destino
11001128,BASE HELADO VAINILLA CJX13.2KG,CJ,13.2,KG
12002544,GALLETA TRITURADA,CJ,5.832,KG
11001132,SALSA DE AREQUIPE BOLX5KG,BTO,5,KG
11001137,SALSA DE CHOCOLATE CJX12KG,CJ,12,KG
18001665,SEPARADOR HELADO KFC BOLX50UN,BTO,50,UN
18001664,CAJA HELADOS C790 50X34 BTOX25UN,BTO,25,UN
18001932,SEPARADOR HELADO TROQUELADO BOL(50UN),BTO,50,UN
18001589,BOLSA PARA GRANOS BTOX2500UN,BTO,2500,UN
18001501,VASO AVALANC OREO KFC 12OZ CJX16BOLX50UN,BTO,800,UN
15005756,TAPA PAPEL AVALANCHA CJX20BOL(50UN),BTO,800,UN
18001885,VASO SUNDAE CHOCOLATE 7.25OZ CJX35BOLX50,CJ,1750,UN
18001776,TAPA PAPEL 7.25OZ CJX35BOLX50UN,CJ,1750,UN
18001591,BOLSA ENSALADA IMPRESA BTOX10BOLX100UN,BTO,100,UN
18001586,BOLSA FUELLE BTOX50BOLX100UN,BTO,100,UN
