cod_producto;cod_componente;descripcion_componente;tipo_componente;cantidad_receta;unidad_cantidad_receta;peso_estandar_kg;interviene_control_peso;componente_obligatorio;estado_parametrizacion;observacion
14002692;11001128;BASE HELADO VAINILLA CJX13.2KG;MP;0,72;CJ;9,504;SI;SI;PARAMETRIZADO;
14002692;12002544;GALLETA TRITURADA;MP;0,19;CJ;1,1077;SI;SI;PARAMETRIZADO;
14002692;11001132;SALSA DE AREQUIPE BOLX5KG;MP;0,252;BTO;1,26;SI;SI;PARAMETRIZADO;
14002692;18001665;SEPARADOR HELADO KFC BOLX50UN;IN;4;UN;0;NO;SI;PARAMETRIZADO;
14002692;18001501;VASO AVALANC OREO KFC 12OZ CJX16BOLX50UN;IN;63;UN;0;NO;SI;PARAMETRIZADO;
14002692;15005756;TAPA PAPEL AVALANCHA CJX20BOL(50UN);IN;63;UN;0;NO;SI;PARAMETRIZADO;
14002692;18001664;CAJA HELADOS C790 50X34 BTOX25UN;IN;1;UN;0;NO;SI;PARAMETRIZADO;
14002995;11001128;BASE HELADO VAINILLA CJX13.2KG;MP;0,88;CJ;11,616;SI;SI;PARAMETRIZADO;
14002995;11001137;SALSA DE CHOCOLATE CJX12KG;MP;0,18;CJ;2,16;SI;SI;PARAMETRIZADO;
14002995;18001885;VASO SUNDAE CHOCOLATE 7.25OZ CJX35BOLX50;IN;105;UN;0;NO;SI;PARAMETRIZADO;
14002995;18001776;TAPA PAPEL 7.25OZ CJX35BOLX50UN;IN;105;UN;0;NO;SI;PARAMETRIZADO;
14002995;18001664;CAJA HELADOS C790 50X34 BTOX25UN;IN;1;UN;0;NO;SI;PARAMETRIZADO;
14002995;18001665;SEPARADOR HELADO KFC BOLX50UN;IN;3;UN;0;NO;SI;PARAMETRIZADO;
14002995;18001932;SEPARADOR HELADO TROQUELADO BOL(50UN);IN;1;UN;0;NO;SI;PARAMETRIZADO;
12002518;11000096;CEBOLLA;MP;0,02;KG;0,02;SI;SI;PARAMETRIZADO;
12002518;11000143;COL REPOLLO;MP;1,42;KG;1,42;SI;SI;PARAMETRIZADO;
12002518;11000285;HOJAS VERDES DE COL;MP;0,03;KG;0,03;SI;SI;PARAMETRIZADO;
12002518;11000624;ZANAHORIA;MP;0,04;KG;0,04;SI;SI;PARAMETRIZADO;
12002518;12000496;MIX ADEREZO ENSALADA KFC;MP;0,49;KG;0,49;SI;SI;PARAMETRIZADO;
12002518;18001591;BOLSA ENSALADA IMPRESA BTOX10BOLX100UN;IN;1;UN;0;NO;SI;PARAMETRIZADO;
14002428;11000312;LECHUGA (REPOLLO);MP;1;KG;1;SI;SI;PARAMETRIZADO;
14002428;18001589;BOLSA PARA GRANOS BTOX2500UN;IN;1;UN;0;NO;SI;PARAMETRIZADO;
14002427;14002446;CARNE BIG CRUNCH;MP;10;UN;0,55;SI;SI;PARAMETRIZADO;
14002441;14002440;CARNE DE STRIPS;MP;20;UN;0,95;SI;SI;PARAMETRIZADO;
14002441;18001586;BOLSA FUELLE  BTOX50BOLX100UN;IN;1;UN;0;NO;SI;PARAMETRIZADO;
