cod_producto;cod_componente;tipo_componente;metodo_validacion;tolerancia_inferior;tolerancia_superior;unidad_tolerancia;validar_individualmente;permite_merma;merma_maxima_porcentaje;genera_novedad;estado_parametrizacion;observacion
14002692;11001128;MP;PORCENTAJE;4;4;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
14002692;12002544;MP;PORCENTAJE;3;3;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
14002692;11001132;MP;PORCENTAJE;3;3;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
14002692;18001665;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14002692;18001501;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14002692;15005756;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14002692;18001664;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14003025;11001128;MP;PORCENTAJE;4;4;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
14003025;11001137;MP;PORCENTAJE;3;3;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
14003025;18001885;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14003025;18001776;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14003025;18001664;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14003025;18001665;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14003025;18001932;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
12002518;11000096;MP;PORCENTAJE;5;;PORCENTAJE;SI;SI;4;SI;PARAMETRIZADO;
12002518;11000143;MP;PORCENTAJE;5;;PORCENTAJE;SI;SI;50;SI;PARAMETRIZADO;
12002518;11000285;MP;PORCENTAJE;5;;PORCENTAJE;SI;SI;50;SI;PARAMETRIZADO;
12002518;11000624;MP;PORCENTAJE;5;;PORCENTAJE;SI;SI;4;SI;PARAMETRIZADO;
12002518;12000496;MP;PORCENTAJE;0;2;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
12002518;18001591;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14002428;11000312;MP;PORCENTAJE;5;;PORCENTAJE;SI;SI;50;SI;PARAMETRIZADO;
14002428;18001589;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
14002427;14002446;MP;PORCENTAJE;2;2;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
14002441;14002440;MP;PORCENTAJE;2;2;PORCENTAJE;SI;NO;;SI;PARAMETRIZADO;
14002441;18001586;IN;CANTIDAD;0;0;UN;SI;NO;;SI;PARAMETRIZADO;
